id	logFC	AveExpr	t	P.Value	adj.P.Val	B	Comparison
5358	-0.8806046835518024	-0.11344446194313276	-6.196729702853229	1.8546905678210154e-5	1.3586811018446746e-4	2.694241101324324	Cell2_inhibitor1 - Cell2_DMSO
2403	0.5648681874497475	-0.04521062986247553	6.191734250526563	1.8710344728250705e-5	1.36868190789103e-4	2.6852194095064617	Cell2_inhibitor1 - Cell2_DMSO
1042	-0.8769281639898595	0.12303777299677154	-6.177685419152632	1.9178104632601084e-5	1.4008833901170103e-4	2.659829239210265	Cell2_inhibitor1 - Cell2_DMSO
2064	-0.6652436425487399	0.07458094087246063	-6.173508224308687	1.9319529467873563e-5	1.4091892082448952e-4	2.6522746885857034	Cell2_inhibitor1 - Cell2_DMSO
3219	-0.6481447565101911	0.14124764964498895	-6.169288510186534	1.946350038056754e-5	1.4176566752837448e-4	2.6446408263137586	Cell2_inhibitor1 - Cell2_DMSO
1590	-1.483355367378917	-0.7110819300760688	-6.168095124006191	1.9504420067800716e-5	1.4186047442732308e-4	2.6424814376175485	Cell2_inhibitor1 - Cell2_DMSO
579	0.5372513105738939	-0.18206159989472048	6.165138759172307	1.9606177568328644e-5	1.422232937248528e-4	2.637131167723026	Cell2_inhibitor1 - Cell2_DMSO
4237	0.42100955722411204	-0.03531156982826585	6.165020674434237	1.961025352107038e-5	1.422232937248528e-4	2.6369174395929624	Cell2_inhibitor1 - Cell2_DMSO
2019	-1.5221348857084556	-0.1393529145297487	-6.161494643701996	1.9732370877929445e-5	1.4290509051765427e-4	2.630534605483251	Cell2_inhibitor1 - Cell2_DMSO
2604	-0.860670407647802	0.12069889302005106	-6.156953890976074	1.9890802374445763e-5	1.437495124036717e-4	2.6223124234944555	Cell2_inhibitor1 - Cell2_DMSO
